Position,Team
1,Germany
2,Brazil
3,Belgium
4,Portugal
5,Argentina
6,Switzerland
7,France
8,Poland
9,Chile
10,Spain
11,Peru
12,Denmark
13,England
14,Uruguay
15,Mexico
16,Colombia
17,Netherlands
18,Wales
19,Italy
20,Croatia
21,Tunisia
22,Iceland
23,Costa Rica
24,Sweden
25,United States
26,Austria
27,Senegal
28,Slovakia
29,Northern Ireland
30,Romania
31,Republic of Ireland
32,Paraguay
33,Venezuela
34,Serbia
35,Ukraine
36,Australia
37,Iran
38,Turkey
39,Congo DR
40,Bosnia-Herzegovina
41,Morocco
42,Scotland
43,Montenegro
44,Greece
45,Egypt
46,Czech Republic
47,Ghana
48,Nigeria
49,Bulgaria
50,Cameroon
51,Hungary
52,Burkina Faso
53,Norway
54,Jamaica
55,Panama
56,Slovenia
57,Korea Republic
58,Albania
59,Bolivia
60,Ecuador
61,Japan
62,Honduras
63,Finland
64,Mali
65,Cape Verde Islands
66,Algeria
67,Saudi Arabia
68,Côte d'Ivoire
69,Guinea
70,Russia
71,FYR Macedonia
72,El Salvador
73,Syria
74,South Africa
75,China PR
76,Zambia
77,UAE
78,Belarus
79,Lebanon
80,Canada
81,Curaçao
82,Uganda
83,Congo
84,Oman
85,Gabon
86,Luxembourg
87,Cyprus
88,Benin
89,Iraq
90,Faroe Islands
91,Trinidad and Tobago
92,Kyrgyzstan
93,Israel
94,Estonia
95,Uzbekistan
96,Georgia
97,India
98,Qatar
99,Palestine
100,Armenia
101,Libya
102,Vietnam
103,Niger
104,Haiti
105,Azerbaijan
106,Madagascar
107,Mauritania
108,Korea DPR
109,Central African Republic
110,Jordan
111,Sierra Leone
112,Kenya
113,Bahrain
114,Mozambique
115,Philippines
116,Namibia
117,Kazakhstan
118,Zimbabwe
119,Tajikistan
120,New Zealand
121,Guinea-Bissau
122,Thailand
123,Malawi
124,Chinese Taipei
125,Togo
126,Lithuania
127,Antigua and Barbuda
128,Sudan
129,Latvia
130,Turkmenistan
131,Andorra
132,Nicaragua
133,Yemen
134,Swaziland
135,St. Kitts and Nevis
136,Rwanda
137,Angola
138,Myanmar
139,Botswana
140,Tanzania
141,Kosovo
142,Hong Kong
143,Equatorial Guinea
144,Solomon Islands
145,Afghanistan
146,Guatemala
147,Lesotho
148,Burundi
149,Comoros
150,Maldives
151,Ethiopia
152,Dominican Republic
153,Suriname
154,New Caledonia
155,Mauritius
156,South Sudan
157,Tahiti
158,Liberia
159,Kuwait
160,Barbados
161,Nepal
162,Vanuatu
163,Belize
164,Indonesia
165,Fiji
166,Cambodia
167,Papua New Guinea
168,Grenada
169,Singapore
170,St. Lucia
171,Malaysia
172,Gambia
173,St. Vincent / Grenadines
174,Puerto Rico
175,Chad
176,Moldova
177,Dominica
178,Bermuda
179,Laos
180,Liechtenstein
181,Cuba
182,Guyana
183,Bhutan
184,Malta
185,Macao
186,Mongolia
187,São Tomé e Príncipe
188,Seychelles
189,Aruba
190,Guam
191,Timor-Leste
192,American Samoa
193,Cook Islands
194,Bangladesh
195,Gibraltar
196,Brunei
197,Djibouti
198,Samoa
199,US Virgin Islands
200,Sri Lanka
201,Pakistan
202,Cayman Islands
203,San Marino
204,British Virgin Islands
205,Montserrat
206,Turks and Caicos Islands
207,Anguilla
208,Bahamas
209,Eritrea
210,Somalia
211,Tonga
